Frame,Leader_X,Leader_Y,Leader_Dir_X,Leader_Dir_Y,Leader_speed,Follower1_X,Follower1_Y,Follower1_target_x,Follower1_target_y,Follower1_speed
17,-33.512367,-15.465481,0.7504442916331028,0.6609337070805897,0.6601903015204686,-36.587856,-17.885931,-38.508644,-15.148613,0.9926395
18,-32.81724,-14.853266,0.7504442916331028,0.6609337070805897,0.6601903015204686,-35.90105,-17.181871,-37.81352,-14.536398,0.9835659
19,-32.122116,-14.241051,0.7504442916331028,0.6609337070805897,0.6601903015204686,-35.221184,-16.482979,-37.118393,-13.924183,0.9750229
20,-31.426989,-13.628836,0.7504442916331028,0.6609337070805897,0.6601903015204686,-34.54736,-15.786586,-36.423267,-13.311968,0.9690214
21,-30.731861,-13.016621,0.7504442916331028,0.6609337070805897,0.6601903015204686,-33.875626,-15.090492,-35.728138,-12.699753,0.9673534
22,-30.036734,-12.404406,0.7504442916331028,0.6609337070805897,0.6601903015204686,-33.199406,-14.393553,-35.033012,-12.087538,0.97108084
23,-29.341606,-11.792191,0.7504442916331028,0.6609337070805897,0.6601903015204686,-32.51097,-13.695952,-34.337883,-11.475323,0.98009616
24,-28.646479,-11.1799755,0.7504442916331028,0.6609337070805897,0.6601903015204686,-31.803211,-12.999108,-33.642757,-10.863108,0.993235
25,-27.951351,-10.56776,0.7504442916331028,0.6609337070805897,0.6601903015204686,-31.0711,-12.305323,-32.947628,-10.250893,1.0086253
26,-27.256224,-9.955545,0.7504442916331028,0.6609337070805897,0.6601903015204686,-30.313107,-11.6174,-32.252502,-9.638678,1.023617
27,-26.561096,-9.34333,0.7504442916331028,0.6609337070805897,0.6601903015204686,-29.53281,-10.938197,-31.557375,-9.026463,1.0344946
28,-25.865969,-8.731115,0.7504442916331028,0.6609337070805897,0.6601903015204686,-28.739717,-10.269854,-30.862247,-8.4142475,1.0371495
29,-25.170841,-8.1189,0.7504442916331028,0.6609337070805897,0.6601903015204686,-27.947233,-9.612698,-30.16712,-7.802033,1.0295073
30,-24.475714,-7.5066857,0.7504442916331028,0.6609337070805897,0.6601903015204686,-27.168016,-8.964425,-29.471992,-7.1898184,1.0136251
31,-23.780586,-6.894471,0.7504442916331028,0.6609337070805897,0.6601903015204686,-26.410807,-8.320408,-28.776865,-6.577604,0.99404466
32,-23.085459,-6.2822566,0.7504442916331028,0.6609337070805897,0.6601903015204686,-25.681328,-7.6754866,-28.081738,-5.9653893,0.9736852
33,-22.390331,-5.670042,0.7504442916331028,0.6609337070805897,0.6601903015204686,-24.984447,-7.0264273,-27.38661,-5.3531747,0.95232356
34,-21.695204,-5.0578275,0.7504442916331028,0.6609337070805897,0.6601903015204686,-24.321255,-6.37114,-26.691483,-4.74096,0.9323229
35,-21.000076,-4.445613,0.7504442916331028,0.6609337070805897,0.6601903015204686,-23.682228,-5.702698,-25.996355,-4.1287456,0.9247537
36,-20.304949,-3.8333983,0.7504442916331028,0.6609337070805897,0.6601903015204686,-23.053421,-5.007881,-25.301228,-3.516531,0.9371067
37,-19.609821,-3.2211838,0.7504442916331028,0.6609337070805897,0.6601903015204686,-22.42916,-4.2701488,-24.6061,-2.9043164,0.9664119
38,-18.914694,-2.6089692,0.7504442916331028,0.6609337070805897,0.6601903015204686,-21.8117,-3.4753373,-23.910973,-2.2921019,1.0064691
39,-18.219566,-1.9967545,0.7504442916331027,0.6609337070805898,0.6601903015204686,-21.201435,-2.6417356,-23.215845,-1.6798872,1.0331099
40,-17.524439,-1.3845398,0.7504442916331027,0.6609337070805898,0.6601903015204686,-20.596016,-1.8375094,-22.520718,-1.0676725,1.006634
41,-16.829311,-0.7723252,0.7504442916331027,0.6609337070805898,0.6601903015204686,-19.996145,-1.1064577,-21.82559,-0.45545787,0.9456645
42,-16.134184,-0.16011058,0.7504442916331027,0.6609337070805898,0.6601903015204686,-19.400314,-0.44169313,-21.130463,0.15675677,0.89270735
43,-15.439056,0.45210406,0.7504442916331027,0.6609337070805898,0.6601903015204686,-18.805605,0.21116543,-20.435335,0.76897144,0.8831215
44,-14.743929,1.0643187,0.7504442916331027,0.6609337070805898,0.6601903015204686,-18.185484,0.90139776,-19.740208,1.381186,0.9278851
45,-14.048801,1.6765333,0.7504442916331027,0.6609337070805898,0.6601903015204686,-17.495386,1.6585084,-19.04508,1.9934007,1.0244274
46,-13.353674,2.288748,0.7504442916331028,0.6609337070805897,0.6601903015204686,-16.68626,2.4885082,-18.349953,2.6056154,1.1591309
47,-12.658546,2.9009626,0.7504442916331028,0.6609337070805897,0.6601903015204686,-15.791365,3.3422916,-17.654825,3.21783,1.2368444
48,-11.963419,3.5131772,0.7504442916331028,0.6609337070805897,0.6601903015204686,-14.9445,4.147296,-16.959698,3.8300445,1.1684228
49,-11.268291,4.125392,0.7504442916331028,0.6609337070805897,0.6601903015204686,-14.228084,4.8421683,-16.26457,4.4422593,0.9980481
50,-10.573164,4.7376065,0.7504442916331028,0.6609337070805897,0.6601903015204686,-13.609999,5.4614463,-15.569443,5.054474,0.8749481
51,-9.8780365,5.349821,0.7504442916331028,0.6609337070805897,0.6601903015204686,-13.063816,6.0801306,-14.874315,5.6666884,0.8252792
52,-9.182909,5.9620357,0.7504442916331028,0.6609337070805897,0.6601903015204686,-12.566649,6.7302585,-14.179188,6.278903,0.8184381
53,-8.487782,6.57425,0.7504442916331028,0.6609337070805897,0.6601903015204686,-12.063178,7.407751,-13.48406,6.8911176,0.8440851
54,-7.7926545,7.186465,0.7504442916331028,0.6609337070805897,0.6601903015204686,-11.528029,8.076956,-12.788933,7.503332,0.85686576
55,-7.0975275,7.7986794,0.7504442916331028,0.6609337070805897,0.6601903015204686,-10.944524,8.677943,-12.093805,8.115547,0.8376543
56,-6.4024005,8.410894,0.7504442916331028,0.6609337070805897,0.6601903015204686,-10.313146,9.178572,-11.398679,8.727762,0.80577123
57,-5.7072735,9.023109,0.7504442916331028,0.6609337070805897,0.6601903015204686,-9.64895,9.630518,-10.703552,9.339977,0.80337524
58,-5.0121465,9.6353245,0.7504442916331028,0.6609337070805897,0.6601903015204686,-8.941358,10.106954,-10.008425,9.952192,0.8530401
59,-4.3170195,10.2475395,0.7504442916331028,0.6609337070805897,0.6601903015204686,-8.144782,10.628746,-9.313297,10.564407,0.95226043
60,-3.6218922,10.859755,0.7504442916331029,0.6609337070805894,0.6601903015204686,-7.264424,11.226864,-8.618171,11.176622,1.0643193
61,-2.926765,11.47197,0.7504442916331029,0.6609337070805894,0.6601903015204686,-6.37776,11.8787775,-7.9230433,11.788837,1.1005291
62,-2.2316377,12.084185,0.7504442916331029,0.6609337070805894,0.6601903015204686,-5.504322,12.493743,-7.227916,12.401052,1.0682117
63,-1.5365106,12.6964,0.7504442916331029,0.6609337070805894,0.6601903015204686,-4.649385,13.001556,-6.5327888,13.0132675,0.9943802
64,-0.8413834,13.308615,0.7504442916331029,0.6609337070805894,0.6601903015204686,-3.9002712,13.428136,-5.8376617,13.625483,0.86205655
65,-0.14625621,13.92083,0.7504442916331029,0.6609337070805894,0.6601903015204686,-3.2692103,13.86728,-5.1425343,14.237698,0.76882076
66,0.548871,14.533045,0.7504442916331029,0.6609337070805894,0.6601903015204686,-2.6760914,14.373305,-4.4474072,14.849913,0.7796484
67,1.2439982,15.14526,0.7504442916331029,0.6609337070805894,0.6601903015204686,-2.077322,14.936785,-3.7522802,15.462128,0.82221276
68,1.9391253,15.757475,0.7504442916331029,0.6609337070805894,0.6601903015204686,-1.4697073,15.537973,-3.057153,16.074343,0.8547652
69,2.6342525,16.36969,0.750444291633102,0.6609337070805905,0.6601903015204686,-0.8639911,16.165136,-2.3620257,16.686558,0.8719091
70,3.3293798,16.981905,0.750444291633102,0.6609337070805905,0.6601903015204686,-0.27174914,16.815193,-1.6668985,17.298773,0.87938863
71,4.024507,17.59412,0.7504442916331018,0.6609337070805907,0.6601903015204685,0.30312425,17.492048,-0.97177124,17.910988,0.8880384
72,4.719634,18.206335,0.7504442916331018,0.6609337070805907,0.6601903015204685,0.86555195,18.1963,-0.27664423,18.523203,0.90127474
73,5.414761,18.81855,0.7504442916331018,0.6609337070805907,0.6601903015204685,1.4249039,18.917349,0.41848278,19.135418,0.9125708
74,6.109888,19.430765,0.7504442916331018,0.6609337070805907,0.6601903015204685,1.990627,19.637066,1.1136098,19.747633,0.9154427
75,6.805015,20.04298,0.7504442916331018,0.6609337070805907,0.6601903015204685,2.56886,20.33515,1.8087368,20.359848,0.90646267
76,7.500142,20.655195,0.7504442916331018,0.6609337070805907,0.6601903015204685,3.1603298,20.993454,2.5038638,20.972063,0.8849864
77,8.19527,21.26741,0.7504442916331018,0.6609337070805907,0.6601903015204685,3.7631419,21.605852,3.1989913,21.584278,0.8593101
78,8.890397,21.879625,0.7504442916331018,0.6609337070805907,0.6601903015204685,4.3763375,22.185926,3.8941188,22.196493,0.8440943
79,9.585525,22.49184,0.7504442916331018,0.6609337070805907,0.6601903015204685,4.995069,22.757421,4.5892463,22.808708,0.8422798
80,10.280652,23.104055,0.7504442916331018,0.6609337070805907,0.6601903015204685,5.61173,23.333788,5.2843738,23.420923,0.84407884
81,10.97578,23.71627,0.7504442916331018,0.6609337070805907,0.6601903015204685,6.2240963,23.912807,5.9795012,24.033138,0.8427669
82,11.670907,24.328485,0.7504442916331018,0.6609337070805907,0.6601903015204685,6.8332343,24.489395,6.6746287,24.645353,0.8387505
83,12.3660345,24.9407,0.7504442916331018,0.6609337070805907,0.6601903015204685,7.4401884,25.063002,7.369756,25.257568,0.8351154
84,13.061162,25.552916,0.7504442916331018,0.6609337070805907,0.6601903015204685,8.046183,25.63753,8.064884,25.869783,0.8350516
85,13.7562895,26.16513,0.7504442916331018,0.6609337070805907,0.6601903015204685,8.653237,26.217657,8.760012,26.481998,0.8396807
86,14.451417,26.777346,0.7504442916331018,0.6609337070805907,0.6601903015204685,9.263619,26.805086,9.455139,27.094213,0.8471359
87,15.146544,27.38956,0.7504442916331018,0.6609337070805907,0.6601903015204685,9.879283,27.399141,10.150267,27.706429,0.85553676
